pmid	ti	ab	fau	dp
12885982	Effect of two breathing exercises (Buteyko and pranayama) in asthma: a randomised controlled trial.	BACKGROUND: Patients with asthma are interested in the use of breathing exercises but their role is uncertain. The effects of the Buteyko breathing technique, a device which mimics pranayama (a yoga breathing technique), and a dummy pranayama device on bronchial responsiveness and symptoms were compared over 6 months in a parallel group study. METHODS: Ninety patients with asthma taking an inhaled corticosteroid were randomised after a 2 week run in period to Eucapnic Buteyko breathing, use of a Pink City Lung Exerciser (PCLE) to mimic pranayama, or a PCLE placebo device. Subjects practised the techniques at home twice daily for 6 months followed by an optional steroid reduction phase. Primary outcome measures were symptom scores and change in the dose of methacholine provoking a 20% fall in FEV(1) (PD(20)) during the first 6 months. RESULTS: Sixty nine patients (78%) completed the study. There was no significant difference in PD(20) between the three groups at 3 or 6 months. Symptoms remained relatively stable in the PCLE and placebo groups but were reduced in the Buteyko group. Median change in symptom scores at 6 months was 0 (interquartile range -1 to 1) in the placebo group, -1 (-2 to 0.75) in the PCLE group, and -3 (-4 to 0) in the Buteyko group (p=0.003 for difference between groups). Bronchodilator use was reduced in the Buteyko group by two puffs/day at 6 months; there was no change in the other two groups (p=0.005). No difference was seen between the groups in FEV(1), exacerbations, or ability to reduce inhaled corticosteroids. CONCLUSION: The Buteyko breathing technique can improve symptoms and reduce bronchodilator use but does not appear to change bronchial responsiveness or lung function in patients with asthma. No benefit was shown for the Pink City Lung Exerciser.	Cooper, S;Oborne, J;Newton, S;Harrison, V;Thompson Coon, J;Lewis, S;Tattersfield, A	2003 Aug
12883107	Mindfulness-based stress reduction in relation to quality of life, mood, symptoms of stress, and immune parameters in breast and prostate cancer outpatients.	OBJECTIVES: This study investigated the relationships between a mindfulness-based stress reduction meditation program for early stage breast and prostate cancer patients and quality of life, mood states, stress symptoms, lymphocyte counts, and cytokine production. METHODS: Forty-nine patients with breast cancer and 10 with prostate cancer participated in an 8-week MBSR program that incorporated relaxation, meditation, gentle yoga, and daily home practice. Demographic and health behavior variables, quality of life (EORTC QLQ C-30), mood (POMS), stress (SOSI), and counts of NK, NKT, B, T total, T helper, and T cytotoxic cells, as well as NK and T cell production of TNF, IFN-gamma, IL-4, and IL-10 were assessed pre- and postintervention. RESULTS: Fifty-nine and 42 patients were assessed pre- and postintervention, respectively. Significant improvements were seen in overall quality of life, symptoms of stress, and sleep quality. Although there were no significant changes in the overall number of lymphocytes or cell subsets, T cell production of IL-4 increased and IFN-gamma decreased, whereas NK cell production of IL-10 decreased. These results are consistent with a shift in immune profile from one associated with depressive symptoms to a more normal profile. CONCLUSIONS: MBSR participation was associated with enhanced quality of life and decreased stress symptoms in breast and prostate cancer patients. This study is also the first to show changes in cancer-related cytokine production associated with program participation.	Carlson, Linda E;Speca, Michael;Patel, Kamala D;Goodey, Eileen	2003 Jul-Aug
12831256	Sensory perception during sleep and meditation: common features and differences.	Sleep and meditation are both physiological conditions in which peripheral sensory input is voluntarily reduced, but sensory perception of internally generated information continues. However, the two conditions differ in the level of awareness retained.	Naveen, K V;Telles, Shirley	2003 Jun
12800469	A yoga teacher with persistent cheilitis.	This is a depiction of an evolving case report right from its presentation to the physician and its documentation and further sharing of it through the net via e-mails and evidence-based-health@jiscmail.ac.uk as well as other colleagues.	Biswas, R;Dalal, M	2003 May
12784901	Exploring yoga to relieve menopausal symptoms.		Adams, Jeanne	2003 May-Jun
12751217	[Changes in cortical activity during altered state of consciousness: study of meditation by high resolution EEG].		Aftanas, L I;Golosheikin, S A	2003 Mar-Apr
12735667	Breathing retraining for asthma.	Breathing retraining is used increasingly throughout the world by many patients with asthma in addition to their usual medical care. We undertook a systematic review of the literature in order to determine the effectiveness of breathing retraining in the management of asthma. Six randomised-controlled trials were identified that involved breathing retraining in asthma. Due to the variation in reported trial outcomes, limited reporting of study data and small number of included trials it was not possible to draw any firm conclusions as to its effectiveness. However, outcomes that were reported from individual trials do show that breathing retraining may have a role in the treatment and management of asthma. Further large-scale trials using breathing retraining techniques in asthma are required to address this important issue.	Ram, F S F;Holloway, E A;Jones, P W	2003 May
12708122	Effects of sirsasana (headstand) practice on autonomic and respiratory variables.	The present study had two aims: (1) To assess heart rate variability (HRV) along with non-specific autonomic measures (used in earlier studies), before and after two minutes of the head stand. (2) To compare changes in two categories of subjects, i.e., those who practiced the headstand in a traditional way (without any support) and those who used the support of the wall (a present day adaptation). The subjects were forty male volunteers (age range 19 to 36 years), with twenty subjects under each category. The following changes were significant after the practice, compared to values at baseline. (i) Both categories had an increase in the power of the low frequency component (LF) and a decrease in the high frequency component (HF) of the HRV spectrum, increased LF/HF ratio, and decreased heart rate. (ii) Subjects who practiced the head stand with the support of a wall showed reduced finger plethysmogram amplitude suggesting increased sympathetic vasomotor tone. (iii) Practicing the headstand without support was associated with an increase in the skin conductance level, suggestive of increased sympathetic sudomotor tone. Hence, both categories showed similar changes in the HRV components though changes in sympathetic vasomotor and sudomotor activity were different. These changes suggest sympathetic activation, irrespective of the method of practice.	Manjunath, N K;Telles, Shirley	2003 Jan
12708121	Effect of pranayam training on cardiac function in normal young volunteers.	Systolic time intervals (STI) are non-invasive and sensitive tests for measuring the ventricular performance. It has been reported that practice of pranayam modulates cardiac autonomic status and improves cardio-respiratory functions. Keeping this in view, the present study was designed to determine whether pranayam training has any effect on ventricular performance as measured by STI and cardiac autonomic function tests (AFT). Twenty four school children were randomly divided into two groups of twelve each. Group I (pranayam group) subjects were given training in nadishuddhi, mukh-bhastrika, pranav and savitri pranayams and practiced the same for 20 minutes daily for a duration of 3 months. Group II (control group) subjects were not given any pranayam training. STI (QS2, LVET and PEP) and AFT (RRIV and QT/QS2) were measured in both the groups at the beginning and again at the end of three months study period. Pranayam training produced an increase in RRIV and a decrease in QT/QS2, suggesting an enhanced parasympathetic and blunted sympathetic activity respectively. QS2, PEP and PEP/LVET increased significantly, whereas LVET was reduced significantly in pranayam group. In contrast, the changes in STI and AFT were much less marked in the control group. Our study shows that three months of pranayam training modulates ventricular performance by increasing parasympathetic activity and decreasing sympathetic activity. Further studies on a larger sample size may illustrate the underlying mechanism(s) involved in this alteration.	Udupa, Kaviraja;Madanmohan;Bhavanani, Ananda Balayogi;Vijayalakshmi, P;Krishnamurthy, N	2003 Jan
12705513	Effect of yoga-based and forced uninostril breathing on the autonomic nervous system.	Some reports have described the effects of forced uninostril breathing on autonomic activity as sex-specific, while other reports described selective effects of breathing through a specific nostril on the two divisions of the autonomic nervous system, irrespective of sex. There are also yoga breathing techniques which involve voluntary uninostril breathing. These techniques also influenced the autonomic activity based on the patent nostril rather than sex. These descriptions were in line with experiential observations of the ancient sages described in classical yoga texts. This paper summarizes these perspectives on uninostril breathing.	Raghuraj, P;Telles, Shirley	2003 Feb
12683226	Effect of meditation on respiratory system, cardiovascular system and lipid profile.	In this study, respiratory functions, cardiovascular parameters and lipid profile of those practicing Raja Yoga meditation (short and long term meditators) were compared with those of nonmediators. Vital capacity, tidal volume and breath holding were significantly higher in short and long term meditators than nonmeditators. Long term mediators had significantly higher vital capacity and expiratory pressure than short term meditators. Diastolic blood pressure was significantly lower in both short and long term meditators as compared to nonmeditators. Heart rate was significantly lower in long term meditators than in short term meditators and nonmeditators. Lipid profile showed a significant lowering of serum cholesterol in short and long term meditators as compared to nonmeditators. Lipid profile of short and long term meditators was better than the profile of nonmeditators inspite of similar physical activity. This shows that Raja Yoga meditation provides significant improvements in respiratory functions, cardiovascular parameters and lipid profile.	Vyas, Rashmi;Dikshit, Nirupama	2002 Oct
12665179	Mind-body medicine: state of the science, implications for practice.	BACKGROUND: Although emerging evidence during the past several decades suggests that psychosocial factors can directly influence both physiologic function and health outcomes, medicine had failed to move beyond the biomedical model, in part because of lack of exposure to the evidence base supporting the biopsychosocial model. The literature was reviewed to examine the efficacy of representative psychosocial-mind-body interventions, including relaxation, (cognitive) behavioral therapies, meditation, imagery, biofeedback, and hypnosis for several common clinical conditions. METHODS: An electronic search was undertaken of the MEDLINE, PsycLIT, and the Cochrane Library databases and a manual search of the reference sections of relevant articles for related clinical trials and reviews of the literature. Studies examining mind-body interventions for psychological disorders were excluded. Owing to space limitations, studies examining more body-based therapies, such as yoga and tai chi chuan, were also not included. Data were extracted from relevant systematic reviews, meta-analyses, and randomized controlled trials. RESULTS: Drawing principally from systematic reviews and meta-analyses, there is considerable evidence of efficacy for several mind-body therapies in the treatment of coronary artery disease (eg, cardiac rehabilitation), headaches, insomnia, incontinence, chronic low back pain, disease and treatment-related symptoms of cancer, and improving postsurgical outcomes. We found moderate evidence of efficacy for mind-body therapies in the areas of hypertension and arthritis. Additional research is required to clarify the relative efficacy of different mind-body therapies, factors (such as specific patient characteristics) that might predict more or less successful outcomes, and mechanisms of action. Research is also necessary to examine the cost offsets associated with mind-body therapies. CONCLUSIONS: There is now considerable evidence that an array of mind-body therapies can be used as effective adjuncts to conventional medical treatment for a number of common clinical conditions.	Astin, John A;Shapiro, Shauna L;Eisenberg, David M;Forys, Kelly L	2003 Mar-Apr
12659826	Efficacy of rehabilitative therapy in regional musculoskeletal conditions.	This chapter reviews the best evidence for the rehabilitation of regional musculoskeletal conditions. Evidence-based efficacy of different modalities for treatment of musculoskeletal pain is presented, and the value of the patient's active participation in the rehabilitation programme is emphasized. The following modalities are commonly included in the holistic approach to patient-centred care and are reviewed: exercise therapy, thermotherapy, transcutaneous electrical nerve stimulation (TENS), and alternative therapies such as acupuncture, massage and yoga. A review of cognitive-behavioural strategies in pain management to prevent or treat fear-avoidance behaviour is also presented. Furthermore, the application of biomechanics in treating and preventing musculoskeletal disorders is illustrated. Moreover, the evidence for pain self-management to improve symptoms, health status and decrease the utilization of health care resources and cost is outlined. Finally, an overview will be presented, concerning the application of the evidence for treatment modalities to patient care, with focus on patient-centred, holistic treatment in a supportive setting. The following key questions/issues are addressed. What are the relevant therapeutic modalities for musculoskeletal pain disorders? What is the evidence of efficacy of these modalities in regional musculoskeletal conditions? What is the importance of understanding biomechanics? What is the importance of understanding fear-avoidance beliefs? What is the evidence for 'alternative' therapies such as acupuncture, massage or yoga? What is the evidence for 'pain self-management?' How does one apply the evidence for rehabilitation in regional musculoskeletal conditions into clinical practice?	Hanada, Edwin Yoshiyuki	2003 Feb
12614533	Psychophysiologic effects of Hatha Yoga on musculoskeletal and cardiopulmonary function: a literature review.	Yoga has become increasingly popular in Western cultures as a means of exercise and fitness training; however, it is still depicted as trendy as evidenced by an April 2001 Time magazine cover story on "The Power of Yoga." There is a need to have yoga better recognized by the health care community as a complement to conventional medical care. Over the last 10 years, a growing number of research studies have shown that the practice of Hatha Yoga can improve strength and flexibility, and may help control such physiological variables as blood pressure, respiration and heart rate, and metabolic rate to improve overall exercise capacity. This review presents a summary of medically substantiated information about the health benefits of yoga for healthy people and for people compromised by musculoskeletal and cardiopulmonary disease.	Raub, James A	2002 Dec
12613400	Improvement in oxidative status with yogic breathing in young healthy males.	The modern living lifestyle is known to produce various physical and psychological stresses and subject the individual to produce oxidative stresses as well. The aim of this study has been to assess the effect of yogic breathing exercises (pranayama) on the oxidatives stress. The study group consisted of 30 young male volunteers, trained for the purpose of this study and an equal number of controls were used. The free radicals and Super oxide dismutase levels were measured before the study and at the end of the study. The free radicals were decreased significantly in the study group but the SOD was increased insignificantly as compared to the control group. Yogic breathing exercises not only help in relieving the stresses of life but also improve the antioxidant status of the individual. An improvement in the antioxidant status is helpful in preventing many pathological processes that are known with impaired antioxidant system of body.	Bhattacharya, Sandeep;Pandey, U S;Verma, N S	2002 Jul
12613394	Study of yoga asanas in assessment of pulmonary function in NIDDM patients.	Certain yoga asanas if practiced regularly are known to have beneficial effects on human body. These yoga practices might be interacting with various, somato-neuro-endocrine mechanisms to have therapeutic effects. The present study done in twenty four NIDDM patients of 30 to 60 year old, provides metabolic and clinical evidence of improvement in glycaemic control and pulmonary functions. These middle-aged subjects were type II diabetics on antihyperglycaemic and dietary regimen. Their baseline fasting and postprandial blood glucose and glycosylated Hb were monitored along with pulmonary function studies. The expert gave these patients training in yoga asanas and were pursed 30-40 min/day for 40 days under guidance. These asanas consisted of 13 well known postures, done in a sequence. After 40 days of yoga asanas regimen, the parameters were repeated. The results indicate that there was significant decrease in fasting blood glucose levels (basal 190.08 +/- 90.8 in mg/dl to 141.5 +/- 79.8 in mg/dl). The postprandial blood glucose levels also decreased (276.54 +/- 101.0 in mg/dl to 201.75 +/- 104.1 in mg/dl), glycosylated hemoglobin showed a decrease (9.03 +/- 1.4% to 7.83 +/- 2.6%). The FEV1, FVC, PEFR, MVV increased significantly (1.81 +/- 0.4 lt to 2.08 +/- 0.4 lt, 2.20 +/- 0.6 lt to 2.37 +/- 0.5 lt, 3.30 +/- 1.0 lt/s to 4.43 +/- 1.4 lt/s and 64.59 +/- 25.7 lt min to 76.28 +/- 28.1 lt/min respectively). FEV1/FVC% improved (85 +/- 0.2% to 89 +/- 0.1%). These findings suggest that better glycaemic control and pulmonary functions can be obtained in NIDDM cases with yoga asanas and pranayama. The exact mechanism as to how these postures and controlled breathing, interact with somato-neuro-endocrine mechanism affecting metabolic and pulmonary functions remains to be worked out.	Malhotra, Varun;Singh, Savita;Singh, K P;Gupta, P;Sharma, S B;Madhu, S V;Tandon, O P	2002 Jul
12613393	Modulation of cold pressor-induced stress by shavasan in normal adult volunteers.	Shavasan is known to enhance one's ability to combat stressful situations. The present study was planned to determine if shavasan could modulate the physiological response to stress induced by cold pressor test (CPT) and the possible mechanisms involved. Ten normal adults were taught shavasan and practiced the same for a total duration of seven days. RR interval variation (RRIV), deep breathing difference (DBD), and heart rate, blood pressure & rate-pressure-product (RPP) response to CPT were measured before and immediately after shavasan. Shavasan produced a significant increase in DBD and an appreciable but statistically insignificant increase in RRIV suggesting an enhanced parasympathetic activity. Significant blunting of cold pressor-induced increase in heart rate, blood pressure and RPP by shavasan was seen during and even five minutes after CPT suggesting that shavasan reduces the load on the heart by blunting the sympathetic response. It is concluded that shavasan can enhance one's ability to withstand stress induced by CPT and this ability can be achieved even with seven days of shavasan training.	Madanmohan;Udupa, Kaviraja;Bhavanani, Ananda Balayogi;Krishnamurthy, N;Pal, G K	2002 Jul
12613392	Effect of Yoga asanas on nerve conduction in type 2 diabetes.	Twenty Type 2 diabetic subjects between the age group of 30-60 years were studied to see the effect of 40 days of Yoga asanas on the nerve conduction velocity. The duration of diabetes ranged from 0-10 years. Subject suffering from cardiac, renal and proliferative retinal complications were excluded from the study Yoga asanas included Suryanamskar. Tadasan, Konasan, Padmasan Pranayam, Paschimottansan Ardhmatsyendrasan, Shavasan, Pavanmukthasan, Sarpasan and Shavasan. Subjects were called to the cardio-respiratory laboratory in the morning time and were given training by the Yoga expert. The Yoga exercises were performed for 30-40 minutes every day for 40 days in the above sequence. The subjects were prescribed certain medicines and diet. The basal blood glucose, nerve conduction velocity of the median nerve was measured and repeated after 40 days of Yogic regime. Another group of 20 Type 2 diabetes subjects of comparable age and severity, called the control group, were kept on prescribed medication and light physical exercises like walking. Their basal & post 40 days parameters were recorded for comparison. Right hand and left hand median nerve conduction velocity increased from 52.81 +/- 1.1 m/sec to 53.87 +/- 1.1 m/sec and 52.46 +/- 1.0 to 54.75 +/- 1/1 m/sec respectively. Control group nerve function parameters deteriorated over the period of study, indicating that diabetes is a slowly progressive disease involving the nerves. Yoga asanas have a beneficial effect on glycaemic control and improve nerve function in mild to moderate Type 2 diabetes with sub-clinical neuropathy.	Malhotra, Varun;Singh, Savita;Tandon, O P;Madhu, S V;Prasad, Atul;Sharma, S B	2002 Jul
12577909	Kaya Kalpa methods adopted by Siddars: a scientific approach.	Thirumular says in his "THIRUMANTHIRAM" the body is a sacred instrument to contain the soul and therefore must be nurtured well to safeguard the life. Thirumular is reported to have lived a long span of three thousand years according to tradition. The art of longevity and the attempts of immortalising the corporeal human body were the ultimate aims of Siddhars as understood from their numerous treatises on the art of rejuvenation - Thirumular Karpam - 300, Bohar Karpam - 300, Thiruvalluvur Karpam - 300 Yugimuni Karpam - 300 etc. which form some of the excellence works in this regard. One of the means to rejuvenate the body was achieved through the art of breathing (Pranayama) which has a direct bearing on the basal metabolic rate and the span of longevity. In this paper an attempt has been made to throw some light on the scientific basis of the various Kaya Kalpa methods adopted by Siddhars.	Rajalakshmi, S;Veluchamy, G	2000 Jul-Dec
12571369	A metaphysics of living systems: the Yoga-Vasistha view.	The Yoga-Vasistha is a rich and complex philosophical 'poem' (kavya) of epic length, written in classical Sanskrit by an unknown author some time between the 6th and 13th centuries CE, probably around the 7th century. It is notable for its eloquent praise of self-effort and enquiry or analysis, and for its severe disparagement of the notion of fate. It views consciousness as (a) characterizing all living forms (including plant and insect life), (b) being atomic, and (c) analogous to the emergence of waves and whirlpools in water; it therefore grapples with what today would be called the problems of reductionism and emergentism. Notions of the survival of the fittest, and of a dynamic process of creation and loss, are expressed with characteristic force. The paper presents a selection of verses (in an English translation) setting forth these views, and a brief analysis of their implications.	Narasimha, Roddam	2002 Dec
12535461	Non-surgical treatment (other than steroid injection) for carpal tunnel syndrome.	BACKGROUND: Non-surgical treatment for carpal tunnel syndrome is frequently offered to those with mild to moderate symptoms. The effectiveness and duration of benefit from non-surgical treatment for carpal tunnel syndrome remain unknown. OBJECTIVES: To evaluate the effectiveness of non-surgical treatment (other than steroid injection) for carpal tunnel syndrome versus a placebo or other non-surgical, control interventions in improving clinical outcome. SEARCH STRATEGY: We searched the Cochrane Neuromuscular Disease Group specialised register (searched March 2002), MEDLINE (searched January 1966 to February 7 2001), EMBASE (searched January 1980 to March 2002), CINAHL (searched January 1983 to December 2001), AMED (searched 1984 to January 2002), Current Contents (January 1993 to March 2002), PEDro and reference lists of articles. SELECTION CRITERIA: Randomised or quasi-randomised studies in any language of participants with the diagnosis of carpal tunnel syndrome who had not previously undergone surgical release. We considered all non-surgical treatments apart from local steroid injection. The primary outcome measure was improvement in clinical symptoms after at least three months following the end of treatment. DATA COLLECTION AND ANALYSIS: Three reviewers independently selected the trials to be included. Two reviewers independently extracted data. Studies were rated for their overall quality. Relative risks and weighted mean differences with 95% confidence intervals were calculated for the primary and secondary outcomes in each trial. Results of clinically and statistically homogeneous trials were pooled to provide estimates of the efficacy of non-surgical treatments. MAIN RESULTS: Twenty-one trials involving 884 people were included. A hand brace significantly improved symptoms after four weeks (weighted mean difference (WMD) -1.07; 95% confidence interval (CI) -1.29 to -0.85) and function (WMD -0.55; 95% CI -0.82 to -0.28). In an analysis of pooled data from two trials (63 participants) ultrasound treatment for two weeks was not significantly beneficial. However one trial showed significant symptom improvement after seven weeks of ultrasound (WMD -0.99; 95% CI -1.77 to - 0.21) which was maintained at six months (WMD -1.86; 95% CI -2.67 to -1.05). Four trials involving 193 people examined various oral medications (steroids, diuretics, nonsteroidal anti-inflammatory drugs) versus placebo. Compared to placebo, pooled data for two-week oral steroid treatment demonstrated a significant improvement in symptoms (WMD -7.23; 95% CI -10.31 to -4.14). One trial also showed improvement after four weeks (WMD -10.8; 95% CI -15.26 to -6.34). Compared to placebo, diuretics or nonsteroidal anti-inflammatory drugs did not demonstrate significant benefit. In two trials involving 50 people, vitamin B6 did not significantly improve overall symptoms. In one trial involving 51 people yoga significantly reduced pain after eight weeks (WMD -1.40; 95% CI -2.73 to -0.07) compared with wrist splinting. In one trial involving 21 people carpal bone mobilisation significantly improved symptoms after three weeks (WMD -1.43; 95% CI -2.19 to -0.67) compared to no treatment. In one trial involving 50 people with diabetes, steroid and insulin injections significantly improved symptoms over eight weeks compared with steroid and placebo injections. Two trials involving 105 people compared ergonomic keyboards versus control and demonstrated equivocal results for pain and function. Trials of magnet therapy, laser acupuncture, exercise or chiropractic care did not demonstrate symptom benefit when compared to placebo or control. REVIEWER'S CONCLUSIONS: Current evidence shows significant short-term benefit from oral steroids, splinting, ultrasound, yoga and carpal bone mobilisation. Other non-surgical treatments do not produce significant benefit. More trials are needed to compare treatments and ascertain the duration of benefit.	O'Connor, D;Marshall, S;Massy-Westropp, N	2003
12522587	Hatha Yoga therapy management of urologic disorders.	Hatha Yoga (often referred to as "yoga") is an ancient type of physical and mental exercise that has been used as a therapeutic modality in traditional Indian medicine for centuries. Yoga as a complementary modality in western medicine is more recent and continues to grow. Chronic urologic disorders are often difficult to diagnose because their presentation mimic other medical conditions and are often a diagnosis of exclusion. Treatment is also frustrating because the more traditional treatments are often unsuccessful in managing chronic disorders. Health care practitioners are often forced to look elsewhere for other modalities to provide pain relief and improve quality of life. Hatha Yoga is one of these modalities which has been extremely useful to many patients in reducing the suffering seen with chronic urologic conditions such as: prostatodynia, chronic orchitis, chronic epididymitis, vulvodynia, interstitial cystitis, etc.	Ripoll, Emmey;Mahowald, Dawn	2002 Nov
12501520	Yoga and massage: if it's physical, it's therapy.			2002 Dec 2
12501514	For the littlest patients.		Noonan, David	2002 Dec 2
12469992	A yoga teacher with persistent reflux symptoms.		Biswas, R;Paul, A;Shetty, K J	2002 Nov
12463606	Culture and complementary therapies.	Complementary therapies are becoming increasingly popular in cultures dominated by biomedicine. Modalities are often extracted from various healing systems and cultural contexts and integrated into health care, expanding the focus from treatment of disease to the promotion of health. The cultural aspects of biomedicine are presented and compared and contrasted with other healing systems. Three healing systems; traditional Chinese medicine, Yoga, with roots in Ayurvedic medicine and Shamanic healing illustrate these fundamental differences in approaches to healing. A reverse example of isolating one healing intervention from biomedicine and interpreting it through other cultural lenses is presented. Implications are drawn for practice and research.	Engebretson, Joan	2002 Nov
12454346	Yoga for stress reduction and injury prevention at work.	At work employees face numerous psychological stressors that can undermine their work performance. These stressors, stemming from a variety of possible causes, have enormous health and financial impacts on employees as well as employers. Stress has been shown to be one of the factors leading to musculo-skeletal disorders (MSDs) such as: include back pain, carpal tunnel syndrome, shoulder or neck tension, eye strain, or headaches. Yoga is an ancient form of exercise that can reduce stress and relieve muscular tension or pain. Practicing yoga at the workplace teaches employees to use relaxation techniques to reduce stress and risks of injury on the job. Yoga at the workplace is a convenient and practical outlet that improves work performance by relieving tension and job stress.	Gura, Shira Taylor	2002
12435217	Complementary and alternative medicine for menopausal symptoms: a review of randomized, controlled trials.	BACKGROUND: Women commonly use soy products, herbs, and other complementary and alternative medicine (CAM) therapies for menopausal symptoms. Randomized, controlled trials have evaluated the efficacy and short-term safety of these therapies. PURPOSE: To review randomized, controlled trials of CAM therapies for menopausal symptoms in order to better inform practice and guide future research. DATA SOURCES: Searches of MEDLINE for articles published from January 1966 through March 2002, of the Alternative and Complementary Database (AMED) of the British Library for articles published from January 1985 through December 2000, and of the authors' own extensive files. Search terms were hot flash/flush, menopause, and climacteric, combined with phytoestrogens, alternative medicine, herbal medicine, traditional medicine, Traditional Chinese Medicine (TCM ), Ayurveda, naturopathy, chiropractic, osteopathy, massage, yoga, relaxation therapy, homeopathy, aromatherapy, and therapeutic touch. STUDY SELECTION: 29 randomized, controlled clinical trials of CAM therapies for hot flashes and other menopausal symptoms were identified; of these, 12 dealt with soy or soy extracts, 10 with herbs, and 7 with other CAM therapies. DATA EXTRACTION: Each author extracted information from half of the studies on the number of patients, study design, outcome measures, and results; the other author then checked these results. DATA SYNTHESIS: Soy seems to have modest benefit for hot flashes, but studies are not conclusive. Isoflavone preparations seem to be less effective than soy foods. Black cohosh may be effective for menopausal symptoms, especially hot flashes, but the lack of adequate long-term safety data (mainly on estrogenic stimulation of the breast or endometrium) precludes recommending long-term use. Single clinical trials have found that dong quai, evening primrose oil, a Chinese herb mixture, vitamin E, and acupuncture do not affect hot flashes; two trials have shown that red clover has no benefit for treating hot flashes. CONCLUSIONS: Black cohosh and foods that contain phytoestrogens show promise for the treatment of menopausal symptoms. Clinical trials do not support the use of other herbs or CAM therapies. Long-term safety data on individual isoflavones or isoflavone concentrates are not available.	Kronenberg, Fredi;Fugh-Berman, Adriane	2002 Nov 19
12426761	The new world of medicine: prospecting for health.	Throughout past millennia, human beings have shared the common goal of improving health for longevity. However, different cultures around the world have developed their own approaches to achieve this goal. Various traditions have emerged, rendering distinct medical systems such as Ayurveda, Yoga, Chinese-Japanese medicine, shamanism, and Native American healing. Traditional medicine involves a holistic approach to the human body to integrate healing with culture, environment, and tradition. Modern allopathic medicine originated from Greco-Roman Medicine and Northern European traditions and is built on the science of anatomy, physiology, and biochemistry and the structure-function relationship between cells, tissues, and organs. This foundation focuses on diagnosis, treatment, and cure for acute illnesses via potent pharmaceutical drugs, surgery, radiation, and other treatment modalities. Within this past century, we have doubled the life-span of human beings. Genomic medicine, including stem cell research, cloning, and gene therapy, will increase our capability to treat even more diseases. In the new millennium, we face more chronic illnesses related to aging, environment, and lifestyle, such as cancer, diabetes. osteoporosis, and cardiovascular diseases. Thus, health care providers face the challenge of prospecting for health and disease prevention. Modern science and medical advancements provide the rationale for the integration of various traditional healing techniques, which have been termed Alternative and Complementary Medicine, to promote healing, health, and longevity. Advances in medicine must include the holistic approach of traditional medicine to face the current challenges in health care. Therefore, the New World of Medicine must fuse the antiquity of ancient healing with the innovations of modern medicine to increase life-expectancy and improve quality of life throughout the world.	Go, Vay Liang W;Champaneria, Manish C	2002 Sep 20
12422290	Complementary and alternative medicine in asthma: do they work?	OBJECTIVE: An increasing number of patients with asthma are attracted by complementary and alternative medicine (CAM). Therefore, it is of importance that scientific evidence about the efficacy of this type of therapy is regarded. METHOD: We searched the electronic databases Medline, Embase and the Cochrane Library for controlled trials and systematic reviews to evaluate the evidence of the most popular alternative therapies, i.e. acupuncture, homeopathy, breathing techniques, herbal and nutritional therapies. RESULTS: Claims that acupuncture is effective for the treatment of asthma are not based on well-performed clinical trials. The role of homeopathy in the treatment of asthma needs further evaluation. Breathing techniques, e.g. improved control of breathing by yoga, may contribute to the control of asthma symptoms, but due to the small number of controlled trials and due to the small number of patients it is not possible to make firm judgments. Herbal remedies cannot be recommended based on the available evidence. Recommendations for a diet high in vitamin C and marine fatty acids are not harmful, but evidence for clinically meaningful effects are scant. CONCLUSION: Up to now evidence is lacking that alternative forms of medicine are more effective than placebo in asthma. However, lack of evidence does not always mean that treatment is ineffective, but it could mean that effectiveness has not been adequately investigated. High quality research as in conventional therapy should be fostered in complementary medicine.	Steurer-Stey, Claudia;Russi, Erich W;Steurer, Johann	2002 Jun 29
12420519	Yoga as a clinical intervention.		Ott, Mary Jane	2002 Jan
12408279	Lifestyle modification in management of diabetes mellitus.	India has the largest diabetic population in the world. Change in eating habits, increasing weight and decreased physical activity are major factors leading to increased incidence of type 2 diabetes. Obesity is the most important modifiable risk factor. Smoking is an independent risk factor for type 2 diabetes mellitus. Diet and exercise are primary therapeutic options for its management. Dietary management should not only aim to achieve glycaemic control but to normalise dyslipidaemia. Smoking cessation reduces the risk of morbidity and mortality in CAD. Exercise improves the condition of a diabetic patient. Exercise includes yoga practices which have a role to play in the prevention of type 2 diabetes.	Sahay, B K;Sahay, Rakesh K	2002 Mar
