pmid	ti	ab	fau	dp
25271201	Disc extrusions and bulges in nonspecific low back pain and sciatica: Exploratory randomised controlled trial comparing yoga therapy and normal medical treatment.	BACKGROUND: Previous trials of yoga therapy for nonspecific low back pain (nsLBP) (without sciatica) showed beneficial effects. OBJECTIVE: To test effects of yoga therapy on pain and disability associated with lumbar disc extrusions and bulges. METHODS: Parallel-group, randomised, controlled trial. Sixty-one adults from rural population, aged 20-45, with nsLBP or sciatica, and disc extrusions or bulges. Randomised to yoga (n=30) and control (n=31). Yoga: 3-month yoga course of group classes and home practice, designed to ensure safety for disc extrusions. CONTROL: normal medical care. OUTCOME MEASURES (3-4 months) Primary: Roland Morris Disability Questionnaire (RMDQ); worst pain in past two weeks. Secondary: Aberdeen Low Back Pain Scale; straight leg raise test; structural changes. RESULTS: Disc projections per case ranged from one bulge or one extrusion to three bulges plus two extrusions. Sixty-two percent had sciatica. Intention-to-treat analysis of the RMDQ data, adjusted for age, sex and baseline RMDQ scores, gave a Yoga Group score 3.29 points lower than Control Group (0.98, 5.61; p=0.006) at 3 months. No other significant differences in the endpoints occurred. No adverse effects of yoga were reported. CONCLUSIONS: Yoga therapy can be safe and beneficial for patients with nsLBP or sciatica, accompanied by disc extrusions and bulges.	Monro, Robin;Bhardwaj, Abhishek Kumar;Gupta, Ram Kumar;Telles, Shirley;Allen, Beth;Little, Paul	2015
25268564	Underuse of yoga as a referral resource by health professions students.	OBJECTIVE: Nearly 38% of U.S. adults use complementary and alternative medicine approaches to manage physical conditions (e.g., chronic pain, arthritis, cancer, heart disease, and high blood pressure) and psychological or emotional health concerns (e.g., post-traumatic stress disorder, anxiety, and depression). Research evidence has accumulated for yoga as an effective treatment approach for these conditions. Further, yoga has increased in popularity among healthcare providers and the general population. Given these trends, this study explored perceptions about yoga as a viable complementary treatment to which health professions students would refer patients. PARTICIPANTS: More than 1500 students enrolled in health professions programs at a Pacific Northwest school were enrolled; data were obtained from 478 respondents. DESIGN: The study assessed willingness to refer patients to yoga as a complementary and alternative medicine for 27 symptoms (identified in the literature as having evidence for yoga's utility), which were subsequently grouped into skeletal, physical, and psychological on the basis of factor analysis. Responses were assessed using a mixed-model analysis of variance with health profession and yoga practitioner as between-subjects variables and symptoms as a within-subjects factor. RESULTS: In descending order of likelihood to refer patients to yoga were students in occupational therapy, physician assistant program, psychology, physical therapy, pharmacy, dental hygiene, speech and audiology, and optometry. All groups perceived yoga's greatest utility for skeletal symptoms, followed by psychological and physical symptoms. Findings also revealed a significant positive relationship between level of personal yoga practice and willingness to refer patients to yoga. CONCLUSIONS: Although students expressed some openness to referring patients to yoga, ratings of appropriateness were not accurately aligned with extant evidence base. Personal experience seemed to be a salient factor for accepting yoga as a referral target. These findings suggest the importance of developing strategies to make health professionals more aware of the merits of yoga, regardless of whether they themselves are yoga practitioners.	Sulenes, Kari;Freitas, Jillian;Justice, Lauren;Colgan, Dana Dharmakaya;Shean, Margaret;Brems, Christiane	2015 Jan
26692742	Beliefs, attitudes and self-use of Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homeopathy medicines among senior pharmacy students: An exploratory insight from Andhra Pradesh, India.	OBJECTIVES: To assess the beliefs, attitudes and self-use of Ayurveda, Yoga and Naturopathy, Unani, Siddha, and Homeopathy (AYUSH) medicines among senior pharmacy students. METHODOLOGY: This was a descriptive cross-sectional study conducted among pharmacy students in four pharmacy schools located in Andhra Pradesh in South India. This study was conducted from the August to September 2014. The study population included all pharmacy students enrolled in Doctor of Pharmacy, Bachelor of Pharmacy and Diploma in Pharmacy programs in studied pharmacy schools. The pretested AYUSH survey had 8 questions on AYUSH related beliefs and 8 question on AYUSH related attitudes. The survey also asked participants about AYUSH related knowledge, frequency of use of AYUSH and the reason for using AYUSH. The data analysis was performed using SPSS Version 20. Chi-square test and Mann-Whitney U-test were employed to study the association between the independent and dependent variables. RESULTS: A total of 428 pharmacy students participated in the survey. 32.2% of the study population was females and 32.5% of the population resided in rural areas. Males were more likely to have positive beliefs about AYUSH when compared to females (odd ratio [OR] = 4.62, confidence interval [CI] = 2.37-8.99, P < 0.001). Similarly, students living in hostels were more positive in their beliefs about AYUSH compared with students living at home (OR = 2.14, CI = 1.12-4.07, P < 0.05). Students living in hostel also had a positive attitude about AYUSH use (OR = 1.74, CI = 1.03-2.93, P < 0.05). CONCLUSION: Pharmacy students held favorable attitude and beliefs about AYUSH use. This baseline survey provides important information about the pharmacy student's perception about AYUSH. Further research is needed to explore the reasons that shape the pharmacy student's beliefs and attitudes about AYUSH.	Ahmad, Akram;Khan, Muhammad Umair;Kumar, Bandari Deepak;Kumar, Gogikar Sudhir;Rodriguez, Stephanie Perez;Patel, Isha	2014 Oct-Dec
25258446	An active learning complementary and alternative medicine session in a self-care therapeutics class.	OBJECTIVE: To provide an interactive, non-supplement based complementary and alternative medicine (CAM) session in a self-care therapeutics class and to evaluate the effect of the session on pharmacy students' perceptions and knowledge of CAM. DESIGN: Second professional year pharmacy students enrolled in a required 3-credit course titled Self-Care Therapeutics participated in an active learning session on CAM. Students physically engaged in 5 separate active learning CAM sessions including massage therapy, Tai Chi, yoga, progressive muscle relaxation, and Reiki. ASSESSMENT: Students were assessed on both knowledge and perception of CAM. Concept mastery was assessed using a written examination and individual readiness assurance tests (iRAT) and team readiness assurance tests (tRAT). Perception of CAM was measured using both a presession and a postsession survey. CONCLUSION: Participating in an intensive, active learning CAM session provided an opportunity to increase students' knowledge of CAM and an effective strategy for providing the learner with the experience to better envision incorporation into patient therapies.	Mattison, Melissa J;Nemec, Eric C	2014 Sep 15
25254284		Patient-centered care supports the active involvement of patients and their families in the decision-making process between options for treatment. Part of this mission is to identify, develop, and implement new practices and approaches that are found to be effective in promoting the transformation to a patient-centered model and improved patient care. Complementary and alternative medicine (CAM) strategies such as yoga are widely available in the private sector, and some Veterans would like access to these strategies through the Veterans Affairs (VA) system. Determining the state of evidence on the benefits and harms of yoga and other CAM modalities is a priority for the Veterans Health Administration (VHA). To fulfill the joint research needs of the Office of Patient Centered Care and the Field Advisory Committee on Complementary and Alternative Medicine, and to help VA leadership determine the most appropriate guidelines/policy for the implementation of CAM therapies within the VA, the Evidence-based Synthesis Program Coordinating Center proposed a CAM evidence mapping project to evaluate the existing evidence on yoga for common clinical conditions in Veterans.	Coeytaux, Remy R;McDuffie, Jennifer;Goode, Adam;Cassel, Sarah;Porter, Wei Duan;Sharma, Poonam;Meleth, Sreelatha;Minnella, Hilary;Nagi, Avishek;Williams, John W John W	2014 Aug
25253113	Exploring different types of Hatha yoga for patients with cancer.	Yoga has been practiced for more than 5,000 years and is based on the collective experiences of yoga practitioners over time. Western countries and sophisticated medical facilities use this practice as a complementary therapy with standard medical treatments. Yoga has been shown to improve quality of life. Several types of yoga potentially can benefit people with cancer, including Hatha yoga. The type of recommended Hatha yoga is dependent on the physical conditions and fitness level of patients. This article explores the impact of different types of Hatha yoga on various cancer-related symptoms in patients with cancer. The article also provides guidelines for healthcare personnel-particularly nurses-to help choose the right kind of Hatha yoga that suits their patients' needs and interests. Additional information is provided on measures and instructions that are essential for healthcare providers to know before recommending any yoga type to their patients. Evidence of the feasibility and potential efficacy of yoga for patients with cancer is provided.	Subedi, Sunita	2014 Oct
25241756	Protocol to evaluate the impact of yoga supplementation on cognitive function in schizophrenia: a randomised controlled trial.	BACKGROUND: Schizophrenia (SZ) is a chronic illness that is treated symptomatically. Cognitive dysfunction is a core feature of SZ that is relatively intractable to pharmacotherapy. Yoga can improve cognitive function among healthy individuals. A recent open trial indicated significant benefits of yoga training (YT) in conjunction with conventional pharmacotherapy among patients with SZ. AIMS: To describe the protocol for an ongoing randomised controlled trial designed to test whether the reported beneficial effects of YT on cognitive function among SZ patients can be replicated. Secondarily, the effects of YT on daily functioning living skills are evaluated. METHODS: Consenting patients with SZ receive routine clinical treatment and are randomised to adjunctive YT, adjunctive physical exercise (PE) or treatment as usual (proposed N = 234 total, N = 78 in each group). The trial involves YT or PE 5 days a week and lasts 3 weeks. Participants are evaluated thrice over 6 months. Cognitive functions measured by Trail Making Test, University of Pennsylvania Neurocognitive Computerised Battery were primary outcome measures while clinical severity and daily functioning measured by Independent Living Skills Survey were secondary outcome measures. RESULTS: A total of 309 participants have been randomised as of 31 August 2013, which exceeded beyond 294 proposed after attrition. Once participants begin YT or PE they generally complete the protocol. No injuries have been reported. CONCLUSIONS: Short term YT is feasible and acceptable to Indian SZ patients. If beneficial effects of YT are detected, it will provide a novel adjunctive cognitive remediation strategy for SZ patients.	Bhatia, Triptish;Mazumdar, Sati;Mishra, Nagendra Narayan;Gur, Raquel E;Gur, Ruben C;Nimgaonkar, Vishwajit Laxmikant;Deshpande, Smita Neelkanth	2014 Oct
25240667	Multimodal treatment of pain.	Chronic pain is a complex disorder with extensive overlap in sensory and limbic pathways. It needs systemic therapy in addition to focused local treatment. This article discusses treatment modalities other than surgical and interventional approaches and also discusses the literature regarding these treatment modalities, including pharmacotherapy, physical and occupational therapy, psychological approaches including cognitive behavior therapy, and other adjunctive treatments like yoga and tai chi.	Mathews, Manu	2014 Oct
25230560	Is complementary and alternative medicine effective in job satisfaction among dentists with musculoskeletal disorders? A cross sectional study.	BACKGROUND: Musculoskeletal disorders have serious impact on the profession of dentistry. There is common occurrence of pain due to incorrect posture in dental professionals. Complementary and alternative medicine (CAM) therapies may cast a new light on preventing and intercepting musculoskeletal disorders (MSD). An epidemiological study was conducted in an effort to contribute to the prevention of musculoskeletal disorders in dentistry. The purpose of this study was to determine the prevalence of MSD at dentists using CAM as a treatment and preventive modality for MSD and to compare job/career satisfaction between dentists who use CAM and conventional therapy (CT). MATERIAL AND METHODS: Dentists registered in Uttrakhand state, India, under the Dental Council of India and registered members of the Indian Dental Association, Uttrakhand branch (N = 1496) were surveyed. Statistical analysis was conducted using SPSS 17. RESULTS: A response rate of 84% (N = 1257) was obtained, revealing that 90% (N = 1131) had the problem of MSD. Seventy three percentage (N = 826) of dentists with MSD reported the use of CAM and CT. Complementary and alternative medicine users reported greater overall health (72.7% vs. 51%, p < 0.001), job satisfaction (61.2% vs. 35%, p < 0.001) and work efficiency compared to CT users. CONCLUSION: Complementary and alternative medicine therapies may improve quality of life, reduce work interruption and enhance job satisfaction for dentists who suffers from MSD. Through the course of their studies, dentists should be equipped with knowledge on ergonomics and CAM therapies, such as yoga and others, to help them prevent musculoskeletal disorders more effectively.	Gupta, Devanand;Bhaskar, Dara John;Gupta, Rajendra Kumar;Jain, Ankita;Yadav, Priyanka;Dalai, Deepak Ranjan;Singh, Rajeshwar;Singh, Nisha;Chaudhary, Varunjeet;Singh, Ankit;Yadav, Ankit;Karim, Bushra	2014
25226195	Self-reported benefits and risks of yoga in individuals with bipolar disorder.	BACKGROUND: Although hatha yoga has frequently been recommended for patients with bipolar disorder (BD) and there is preliminary evidence that it alleviates depression, there are no published data on the benefits-and potential risks-of yoga for patients with BD. Thus, the goal of this study was to assess the risks and benefits of yoga in individuals with BD. METHODS: We recruited self-identified yoga practitioners with BD (N=109) to complete an Internet survey that included measures of demographic and clinical information and open-ended questions about yoga practice and the impact of yoga. RESULTS: 86 respondents provided sufficient information for analysis, 70 of whom met positive screening criteria for a lifetime history of mania or hypomania. The most common styles of yoga preferred were hatha and vinyasa. When asked what impact yoga had on their life, participants responded most commonly with positive emotional effects, particularly reduced anxiety, positive cognitive effects (e.g., acceptance, focus, or "a break from my thoughts"), or positive physical effects (e.g., weight loss, increased energy). Some respondents considered yoga to be significantly life changing. The most common negative effect of yoga was physical injury or pain. Five respondents gave examples of specific instances or a yoga practice that they believed increased agitation or manic symptoms; five respondents gave examples of times that yoga increased depression or lethargy. CONCLUSIONS: Many individuals who self-identify as having BD believe that yoga has benefits for mental health. However, yoga is not without potential risks. It is possible that yoga could serve as a useful adjunctive treatment for BD.	Uebelacker, Lisa A;Weinstock, Lauren M;Kraines, Morganne A	2014 Sep
25211372	The effect of a yoga intervention on alcohol and drug abuse risk in veteran and civilian women with posttraumatic stress disorder.	BACKGROUND: Individuals with posttraumatic stress disorder (PTSD) often exhibit high-risk substance use behaviors. Complementary and alternative therapies are increasingly used for mental health disorders, although evidence is sparse. OBJECTIVES: Investigate the effect of a yoga intervention on alcohol and drug abuse behaviors in women with PTSD. Secondary outcomes include changes in PTSD symptom perception and management and initiation of evidence-based therapies. MATERIALS AND METHODS: The current investigation analyzed data from a pilot randomized controlled trial comparing a 12-session yoga intervention with an assessment control for women age 18 to 65 years with PTSD. The Alcohol Use Disorder Identification Test (AUDIT) and Drug Use Disorder Identification Test (DUDIT) were administered at baseline, after the intervention, and a 1-month follow-up. Linear mixed models were used to test the significance of the change in AUDIT and DUDIT scores over time. Treatment-seeking questions were compared by using Fisher exact tests. RESULTS: The mean AUDIT and DUDIT scores decreased in the yoga group; in the control group, mean AUDIT score increased while mean DUDIT score remained stable. In the linear mixed models, the change in AUDIT and DUDIT scores over time did not differ significantly by group. Most yoga group participants reported a reduction in symptoms and improved symptom management. All participants expressed interest in psychotherapy for PTSD, although only two participants, both in the yoga group, initiated therapy. CONCLUSIONS: Results from this pilot study suggest that a specialized yoga therapy may play a role in attenuating the symptoms of PTSD, reducing risk of alcohol and drug use, and promoting interest in evidence-based psychotherapy. Further research is needed to confirm and evaluate the strength of these effects.	Reddy, Shivani;Dick, Alexandra M;Gerber, Megan R;Mitchell, Karen	2014 Oct
25198206	Clinical Inquiry: can yoga reduce symptoms of anxiety and depression?		Skowronek, Irene Belle;Mounsey, Anne;Handler, Lara	2014 Jul
25191250	The development of an RDoC-based treatment program for adolescent depression: "Training for Awareness, Resilience, and Action" (TARA).	Major depressive disorder (MDD) is one of the current leading causes of disability worldwide. Adolescence is a vulnerable period for the onset of depression, with MDD affecting 8-20% of all youth. Traditional treatment methods have not been sufficiently effective to slow the increasing prevalence of adolescent depression. We therefore propose a new model for the treatment of adolescent depression - Training for Awareness, Resilience, and Action (TARA) - that is based on current understanding of developmental and depression neurobiology. The TARA model is aligned with the Research Domain Criteria (RDoC) of the National Institute of Mental Health. In this article, we first address the relevance of RDoC to adolescent depression. Second, we identify the major RDoC domains of function involved in adolescent depression and organize them in a way that gives priority to domains thought to be driving the psychopathology. Third, we select therapeutic training strategies for TARA based on current scientific evidence of efficacy for the prioritized domains of function in a manner that maximizes time, resources, and feasibility. The TARA model takes into consideration the developmental limitation in top-down cognitive control in adolescence and promotes bottom-up strategies such as vagal afference to decrease limbic hyperactivation and its secondary effects. The program has been informed by mindfulness-based therapy and yoga, as well as modern psychotherapeutic techniques. The treatment program is semi-manualized, progressive, and applied in a module-based approach designed for a group setting that is to be conducted one session per week for 12 weeks. We hope that this work may form the basis for a novel and more effective treatment strategy for adolescent depression, as well as broaden the discussion on how to address this challenge.	Henje Blom, Eva;Duncan, Larissa G;Ho, Tiffany C;Connolly, Colm G;LeWinn, Kaja Z;Chesney, Margaret;Hecht, Frederick M;Yang, Tony T	2014
25190368	Complementary/alternative and conventional medicine use amongst menopausal women: results from the Australian Longitudinal Study on Women's Health.	Large population-based studies of complementary and alternative medicine (CAM) and conventional medicine use amongst menopausal women are lacking. This study helps address this gap by analysing data from a nationally representative sample of 10011 Australian women aged 59-64 years. Overall, 39% of menopausal women consulted CAM practitioners, 75% used self-prescribed CAM, 95% consulted general practitioners (GP) and 50% consulted specialists during the previous year, and 12% were current hormone replacement therapy (HRT) users. Our findings suggest that CAM is a significant healthcare option utilized by women to treat menopausal symptoms, and so requires attention from GPs and specialists.	Peng, Wenbo;Adams, Jon;Hickman, Louise;Sibbritt, David W	2014 Nov
25185831	Additional benefit of yoga to standard lifestyle modification on blood pressure in prehypertensive subjects: a randomized controlled study.	High blood pressure (BP) is a known risk factor for cardiovascular disease morbidity. Considering the growing evidence of nonpharmacological interventions in the management of high BP, we designed a randomized, parallel active-controlled study on the effect of yoga and standard lifestyle modification (LSM) on BP and heart rate in individuals with prehypertension (systolic BP 120-139 mm Hg and/or diastolic BP 80-89 mm Hg). Volunteers (20-60 years) of both genders without any known cardiovascular disease were randomized into either LSM group (n = 92) or LSM+yoga group (n = 92). Before the intervention, age, waist circumference, physical activity, BP and fasting plasma glucose and lipids were comparable between the groups. After 12 weeks of intervention, we observed a significant reduction in the BP and heart rate in both the groups. Further, the reduction in systolic BP was significantly more in LSM+yoga group (6 mm Hg) as compared with LSM group (4 mm Hg). In addition, 13 prehypertensives became normotensives in LSM+yoga group and four in LSM group. The results indicate efficacy of nonpharmacological intervention and the additional benefit of yoga to standard LSM. Further research in this field may add to the level of evidence on the benefit of yoga, in the reduction of BP in high BP subjects, in the scientific literature.	Thiyagarajan, Ramkumar;Pal, Pravati;Pal, Gopal Krushna;Subramanian, Senthil Kumar;Trakroo, Madanmohan;Bobby, Zachariah;Das, Ashok Kumar	2015 Jan
25183502	Hemodynamic effects of slow breathing: does the pattern matter beyond the rate?	PURPOSE: Patterned breathing allows standardized serial measurements of heart rate variability and baroreflex indices. The slow breathing augments these parameters, and regular exercises, including yoga breathing practices with even respiratory rates have long-term beneficial effects in cardiovascular diseases. The role of temporization of breathing phases, i.e. the ratio of expiration to inspiration, is not known. In order to characterize the hemodynamic and autonomic responses during varying breathing phases 27 volunteers performed three short breathing sessions at 6/minutes frequency with 5:5, 3:7 and 7:3 inspiration expiration ratios. RESULTS: The immediate responses in arterial pressure and heart rate were negligible. The time domain parameters of heart rate variability (SDRR, PNN50,RMSSD) increased significantly with patterned breathing. So did the spontaneous baroreflex gain of increasing sequences (up-BRS, from 12 +/- 7 to 17 +/- 10 ms/mmHg, p < 0.05), and the cross-spectral low frequency gain, the LFalpha (from 11 +/- 7 to 15 +/- 7 ms/mmHg, p < 0.05). None of these parameters differed significantly from each other while using any of tested inspiratory-expiratory patterns. CONCLUSION: The major determinant of autonomic responses induced by slow patterned breathing is the breathing rate itself. From our observations, it follows that slow breathing exercises performed either with diagnostic or therapeutic purpose could be simplified, allowing more extensive investigations.	Paprika, D;Gingl, Z;Rudas, Laszlo;Zollei, E	2014 Sep
25183419	Characteristics of randomized controlled trials of yoga: a bibliometric analysis.	BACKGROUND: A growing number of randomized controlled trials (RCTs) have investigated the therapeutic value of yoga interventions. This bibliometric analysis aimed to provide a comprehensive review of the characteristics of the totality of available randomized yoga trials. METHODS: All RCTs of yoga were eligible. Medline/PubMed, Scopus, the Cochrane Library, IndMED, and the tables of content of yoga specialty journals not listed in medical databases were screened through February 2014. Bibliometric data, data on participants, and intervention were extracted and analyzed descriptively. RESULTS: Published between 1975 and 2014, a total of 366 papers were included, reporting 312 RCTs from 23 different countries with 22,548 participants. The median study sample size was 59 (range 8-410, interquartile range = 31, 93). Two hundred sixty-four RCTs (84.6%) were conducted with adults, 105 (33.7%) with older adults and 31 (9.9%) with children. Eighty-four RCTs (26.9%) were conducted with healthy participants. Other trials enrolled patients with one of 63 varied medical conditions; the most common being breast cancer (17 RCTs, 5.4%), depression (14 RCTs, 4.5%), asthma (14 RCTs, 4.5%) and type 2 diabetes mellitus (13 RCTs, 4.2%). Whilst 119 RCTs (38.1%) did not define the style of yoga used, 35 RCTs (11.2%) used Hatha yoga and 30 RCTs (9.6%) yoga breathing. The remaining 128 RCTs (41.0%) used 46 varied yoga styles, with a median intervention length of 9 weeks (range 1 day to 1 year; interquartile range = 5, 12). Two hundred and forty-four RCTs (78.2%) used yoga postures, 232 RCTs (74.4%) used breath control, 153 RCTs (49.0%) used meditation and 32 RCTs (10.3%) used philosophy lectures. One hundred and seventy-four RCTs (55.6%) compared yoga with no specific treatment; 21 varied control interventions were used in the remaining RCTs. CONCLUSIONS: This bibliometric analysis presents the most complete up-to-date overview on published randomized yoga trials. While the available research evidence is sparse for most conditions, there was a marked increase in published RCTs in recent years.	Cramer, Holger;Lauche, Romy;Dobos, Gustav	2014 Sep 2
25177555	Effect of yoga on oxidative stress in elderly with grade-I hypertension: a randomized controlled study.	BACKGROUND AND OBJECTIVES: Hypertension, especially in elderly is a strong risk factor for cardiovascular mortality and morbidity. Oxidative stress has been implicated as one of the underlying cause of hypertension. Yoga has been found to control hypertension in the elderly, but the underlying benefits of mechanism in relation to oxidative stress regulation remains unclear. The purpose of the study was to investigate the effect of yoga on oxidative stress in elderly with Grade-I hypertension. METHODS: An open parallel-arm randomised controlled study was conducted at BLDE University's Shri B.M.Patil Medical College, Hospital and Research Centre, India on elderly male individuals with Grade-I hypertension (n=57, age 60-80 years). Study (Yoga) group was assigned for yoga intervention and control group for walking for one hour in the morning for six days in a week for three months under the supervision of yoga instructor and physical training instructor respectively. Serum malondialdehyde (MDA) as an indicator of oxidative stress and antioxidants such as serum superoxide dismutase (SOD), reduced glutathione (GSH) and vitamin C levels were estimated. RESULTS: Yoga practice for three months has significantly reduced serum MDA level (p<0.001), and enhanced antioxidants level such as SOD activity (p=0.007), serum GSH (p=0.002) and vitamin C (p=0.002). In the control group, we observed a significant increase in serum MDA level (p=0.04) and reduction in serum vitamin C level (p=0.015) with no significant difference in the SOD activity and GSH level. CONCLUSION: These findings suggest that yoga is an effective means to reduce oxidative stress and to improve antioxidant defense in elderly hypertensive individuals.	Patil, Satish G;Dhanakshirur, Gopal B;Aithala, Manjunatha R;Naregal, Govindanagouda;Das, Kusal K	2014 Jul
25173169	In vitro detection of residual undifferentiated cells in retinal pigment epithelial cells derived from human induced pluripotent stem cells.	Human pluripotent stem cells (hPSCs) such as human embryonic stem cells (hESCs) and human induced pluripotent stem cells (hiPSCs) are a leading candidate for regenerative medicine/cell therapies because of their capacity for pluripotency and unlimited self-renewal. However, there are significant obstacles preventing the clinical use of hPSCs. A significant safety issues is the presence of residual undifferentiated cells that have the potential to form tumors in vivo. Here, we describe the highly sensitive qRT-PCR methods for detection of residual undifferentiated cells in retinal pigment epithelial (RPE) cells derived from hiPSCs. qRT-PCR using probes and primers targeting LIN28A (LIN28) transcripts can detect residual undifferentiated cell levels as low as 0.002 % in hiPSC-derived RPE cells. We expect this method to contribute to process validation and quality control of hiPSC-derived cell therapy product.	Kuroda, Takuya;Yasuda, Satoshi;Sato, Yoji	2014
25158652	The physical activity preferences of gynecologic cancer survivors.	PURPOSE/OBJECTIVES: To identify physical activity (PA) preferences of gynecologic cancer survivors (GCSs) and to understand the reasons for them. DESIGN: Population-based, cross-sectional mailed survey and semistructured interviews with a subsample. SETTING: Nova Scotia, Canada. SAMPLE: 239 GCSs completed the survey, and 16 participated in an interview. METHODS: GCSs identified from a provincial cancer registry completed a questionnaire assessing PA preferences. Survey respondents were asked to participate in a substudy exploring PA preferences through a semistructured interview. MAIN RESEARCH VARIABLES: Self-reported PA and PA preferences. FINDINGS: Analyses indicated that participants were interested in a PA program. Interviews highlighted that PA counseling was highly desired and should include discussions about the benefits and appropriate amounts of PA, as well as available opportunities for PA. CONCLUSIONS: GCSs have preferences regarding characteristics of PA discussions and programs. IMPLICATIONS FOR NURSING: Oncology nurses are integral to the promotion of PA in GCSs. Providing oncology nurses with training opportunities to learn about PA for cancer survivors is an important consideration for cancer centers in ensuring a satisfactory experience for cancer survivors.	Tyrrell, Ashley;Keats, Melanie;Blanchard, Chris	2014 Sep
25158633	Breathing-based meditation decreases posttraumatic stress disorder symptoms in U.S. military veterans: a randomized controlled longitudinal study.	Given the limited success of conventional treatments for veterans with posttraumatic stress disorder (PTSD), investigations of alternative approaches are warranted. We examined the effects of a breathing-based meditation intervention, Sudarshan Kriya yoga, on PTSD outcome variables in U.S. male veterans of the Iraq or Afghanistan war. We randomly assigned 21 veterans to an active (n = 11) or waitlist control (n = 10) group. Laboratory measures of eye-blink startle and respiration rate were obtained before and after the intervention, as were self-report symptom measures; the latter were also obtained 1 month and 1 year later. The active group showed reductions in PTSD scores, d = 1.16, 95% CI [0.20, 2.04], anxiety symptoms, and respiration rate, but the control group did not. Reductions in startle correlated with reductions in hyperarousal symptoms immediately postintervention (r = .93, p < .001) and at 1-year follow-up (r = .77, p = .025). This longitudinal intervention study suggests there may be clinical utility for Sudarshan Kriya yoga for PTSD.	Seppala, Emma M;Nitschke, Jack B;Tudorascu, Dana L;Hayes, Andrea;Goldstein, Michael R;Nguyen, Dong T H;Perlman, David;Davidson, Richard J	2014 Aug
25158450	[Yoga and tales in mental health].	Body-mind practices play an important role within nursing care in psychiatry, as well as with patients with a disability. Here, a nurse describes a yoga workshop she ran in a psychiatric clinic and how she has since continued and developed her approach in a specialised care home. Body-mind practices also give meaning to the work of nurses faced with difficult situations and emotional overload.	Beaufils, Isabel	2014 Jul-Aug
25157391	Specialized Yoga may improve urinary incontinence in women.			2014 Jul
25153750	Influence of yoga on body image satisfaction in men.	The aim of this study was to examine the influence of yoga practice on body image satisfaction in men. Male Figure Drawings were used to explore body image satisfaction in yoga beginners (n = 26, M age = 40.3 yr., SD = 11.6), experienced yoga practitioners (n = 22, M age = 46.4 yr., SD = 11.6), and non-yoga practicing aerobic and weight training exercisers (n = 34, M age = 41.2 yr., SD = 11.9). Satisfaction was significantly higher among the yoga groups than the exercisers. There was no statistical difference between the body satisfaction scores of the experienced yoga group and the beginner yoga students. This may suggest that individuals drawn to yoga have greater body satisfaction than exercisers, and that regular yoga practice possibly further increases body satisfaction.	Flaherty, Mary	2014 Aug
25148571	The effects of a therapeutic yoga program on postural control, mobility, and gait speed in community-dwelling older adults.	OBJECTIVE: To examine the effects of a 12-week therapeutic yoga program on gait speed, postural control, and mobility in community-dwelling older adults. DESIGN: Quasi-experimental study with a pretest/post-test design. Researchers evaluated changes over time (pretest to post-test) in all outcome measures. Paired t-tests were used to analyze normal and fast gait speed, Timed Up and Go test, and Timed Up and Go Dual Task. Wilcoxon signed-rank test was used to evaluate scores for the Mini-BESTest (MBT). SETTING: Yoga classes were performed at a local senior center. Blind examiners who were previously trained in the outcome measures performed all pretests and post-tests at the site. PARTICIPANTS: Thirteen adults (12 women and 1 man, with a mean age+/-standard deviation of 72+/-6.9 years) completed the study. Research participants had minimal to no yoga experience. INTERVENTIONS: A 12-week, 60-minute, biweekly Kripalu yoga class designed specifically for community-dwelling older adults. OUTCOME MEASURES: Postural control (MBT), mobility (Timed Up and Go test), and gait speed (normal and fast) were assessed. RESULTS: All 13 participants attended at least 19 of the 24 classes (80% attendance). Statistically significant improvements were seen in the MBT (p=0.039), normal gait speed (p=0.015), fast gait speed (p=0.001), Timed Up and Go test (p=0.045), and Timed Up and Go Dual-Task (p=0.05). CONCLUSIONS: Improvements in postural control and mobility as measured by the MBT and Timed Up and Go gait as measured by fast gait speed indicate that research participants benefitted from the therapeutic yoga intervention. The yoga program designed for this study included activities in standing, sitting, and lying on the floor and may be effective in improving mobility, postural control, and gait speed in community-dwelling older adults.	Kelley, Kathleen K;Aaron, Dana;Hynds, Kimberly;Machado, Emily;Wolff, Michelle	2014 Dec
25147889	Three alternative ways to treat VMS failed.		Pines, Amos	2014 Aug
